Jurisdiction,iso_3166_2,YearDur,Year,Fuel,Unit,Quantity
AUS,AU-AUS,1-Feb,#VALUE!,Natural gas,GWh,31730
AUS,AU-AUS,1-Feb,#VALUE!,Oil products,GWh,2446
AUS,AU-AUS,1-Feb,#VALUE!,Other,GWh,
AUS,AU-AUS,1-Feb,#VALUE!,Small-scale solar PV,GWh,58.3
AUS,AU-AUS,1-Feb,#VALUE!,Total,GWh,224870
AUS,AU-AUS,1-Feb,#VALUE!,Total non-renewable,GWh,207443.7
AUS,AU-AUS,1-Feb,#VALUE!,Total renewable,GWh,17426.3
AUS,AU-AUS,1-Feb,#VALUE!,Wind,GWh,364
AUS,AU-AUS,2-Mar,#VALUE!,"Bagasse, wood",GWh,826.6
AUS,AU-AUS,2-Mar,#VALUE!,Biogas,GWh,757
AUS,AU-AUS,2-Mar,#VALUE!,Black coal,GWh,115296.6
AUS,AU-AUS,2-Mar,#VALUE!,Brown coal,GWh,55160.3
AUS,AU-AUS,2-Mar,#VALUE!,Geothermal,GWh,
AUS,AU-AUS,2-Mar,#VALUE!,Hydro,GWh,16490
AUS,AU-AUS,2-Mar,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,2-Mar,#VALUE!,Natural gas,GWh,29375.3
AUS,AU-AUS,2-Mar,#VALUE!,Oil products,GWh,1661
AUS,AU-AUS,2-Mar,#VALUE!,Other,GWh,1792.2
AUS,AU-AUS,2-Mar,#VALUE!,Small-scale solar PV,GWh,58.3
AUS,AU-AUS,2-Mar,#VALUE!,Total,GWh,222120.4
AUS,AU-AUS,2-Mar,#VALUE!,Total non-renewable,GWh,203285.4
AUS,AU-AUS,2-Mar,#VALUE!,Total renewable,GWh,18835
AUS,AU-AUS,2-Mar,#VALUE!,Wind,GWh,703.1
AUS,AU-AUS,3-Apr,#VALUE!,"Bagasse, wood",GWh,1058.2
AUS,AU-AUS,3-Apr,#VALUE!,Biogas,GWh,741.3
AUS,AU-AUS,3-Apr,#VALUE!,Black coal,GWh,121182.3
AUS,AU-AUS,3-Apr,#VALUE!,Brown coal,GWh,55572.8
AUS,AU-AUS,3-Apr,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,3-Apr,#VALUE!,Hydro,GWh,16331.1
AUS,AU-AUS,3-Apr,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,3-Apr,#VALUE!,Natural gas,GWh,30919.4
AUS,AU-AUS,3-Apr,#VALUE!,Oil products,GWh,1388.7
AUS,AU-AUS,3-Apr,#VALUE!,Other,GWh,1817
AUS,AU-AUS,3-Apr,#VALUE!,Small-scale solar PV,GWh,68.1
AUS,AU-AUS,3-Apr,#VALUE!,Total,GWh,229784.4
AUS,AU-AUS,3-Apr,#VALUE!,Total non-renewable,GWh,210880.2
AUS,AU-AUS,3-Apr,#VALUE!,Total renewable,GWh,18904.2
AUS,AU-AUS,3-Apr,#VALUE!,Wind,GWh,705
AUS,AU-AUS,4-May,#VALUE!,"Bagasse, wood",GWh,3237
AUS,AU-AUS,4-May,#VALUE!,Biogas,GWh,593
AUS,AU-AUS,4-May,#VALUE!,Black coal,GWh,127788.5
AUS,AU-AUS,4-May,#VALUE!,Brown coal,GWh,53377.8
AUS,AU-AUS,4-May,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,4-May,#VALUE!,Hydro,GWh,15612.2
AUS,AU-AUS,4-May,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,4-May,#VALUE!,Natural gas,GWh,23802.9
AUS,AU-AUS,4-May,#VALUE!,Oil products,GWh,2841
AUS,AU-AUS,4-May,#VALUE!,Other,GWh,434
AUS,AU-AUS,4-May,#VALUE!,Small-scale solar PV,GWh,77.8
AUS,AU-AUS,4-May,#VALUE!,Total,GWh,228649.7
AUS,AU-AUS,4-May,#VALUE!,Total non-renewable,GWh,208244.2
AUS,AU-AUS,4-May,#VALUE!,Total renewable,GWh,20405.5
AUS,AU-AUS,4-May,#VALUE!,Wind,GWh,885
AUS,AU-AUS,5-Jun,#VALUE!,"Bagasse, wood",GWh,3268
AUS,AU-AUS,5-Jun,#VALUE!,Biogas,GWh,643
AUS,AU-AUS,5-Jun,#VALUE!,Black coal,GWh,130231.6
AUS,AU-AUS,5-Jun,#VALUE!,Brown coal,GWh,54552.8
AUS,AU-AUS,5-Jun,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,5-Jun,#VALUE!,Hydro,GWh,16029.2
AUS,AU-AUS,5-Jun,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,5-Jun,#VALUE!,Natural gas,GWh,22725.9
AUS,AU-AUS,5-Jun,#VALUE!,Oil products,GWh,3058
AUS,AU-AUS,5-Jun,#VALUE!,Other,GWh,517
AUS,AU-AUS,5-Jun,#VALUE!,Small-scale solar PV,GWh,90.3
AUS,AU-AUS,5-Jun,#VALUE!,Total,GWh,232829.4
AUS,AU-AUS,5-Jun,#VALUE!,Total non-renewable,GWh,211085.3
AUS,AU-AUS,5-Jun,#VALUE!,Total renewable,GWh,21744.1
AUS,AU-AUS,5-Jun,#VALUE!,Wind,GWh,1713.1
AUS,AU-AUS,6-Jul,#VALUE!,"Bagasse, wood",GWh,3316
AUS,AU-AUS,6-Jul,#VALUE!,Biogas,GWh,637
AUS,AU-AUS,6-Jul,#VALUE!,Black coal,GWh,132368.5
AUS,AU-AUS,6-Jul,#VALUE!,Brown coal,GWh,54375.8
AUS,AU-AUS,6-Jul,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,6-Jul,#VALUE!,Hydro,GWh,14517
AUS,AU-AUS,6-Jul,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,6-Jul,#VALUE!,Natural gas,GWh,31849.9
AUS,AU-AUS,6-Jul,#VALUE!,Oil products,GWh,2893
AUS,AU-AUS,6-Jul,#VALUE!,Other,GWh,479
AUS,AU-AUS,6-Jul,#VALUE!,Small-scale solar PV,GWh,104.7
AUS,AU-AUS,6-Jul,#VALUE!,Total,GWh,243152.5
AUS,AU-AUS,6-Jul,#VALUE!,Total non-renewable,GWh,221966.2
AUS,AU-AUS,6-Jul,#VALUE!,Total renewable,GWh,21186.3
AUS,AU-AUS,6-Jul,#VALUE!,Wind,GWh,2611.1
AUS,AU-AUS,7-Aug,#VALUE!,"Bagasse, wood",GWh,3737
AUS,AU-AUS,7-Aug,#VALUE!,Biogas,GWh,859
AUS,AU-AUS,7-Aug,#VALUE!,Black coal,GWh,129569.3
AUS,AU-AUS,7-Aug,#VALUE!,Brown coal,GWh,54658.7
AUS,AU-AUS,7-Aug,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,7-Aug,#VALUE!,Hydro,GWh,12056.9
AUS,AU-AUS,7-Aug,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,7-Aug,#VALUE!,Natural gas,GWh,34955.8
